sepal_length,sepal_width,petal_length,petal_width,species,SepalLength,SepalWidth,PetalLength,PetalWidth
5.1,3.5,1.4,0.2,setosa,-0.9006811702978088,1.0320572244889565,-1.3412724047598314,-1.3129767272601454
4.9,3.0,1.4,0.2,setosa,-1.1430169111851105,-0.12495760117130933,-1.3412724047598314,-1.3129767272601454
4.7,3.2,1.3,0.2,setosa,-1.3853526520724133,0.3378483290927974,-1.3981381087490836,-1.3129767272601454
4.6,3.1,1.5,0.2,setosa,-1.5065205225160652,0.10644536396074403,-1.284406700770579,-1.3129767272601454
5.0,3.6,1.4,0.2,setosa,-1.0218490407414595,1.2634601896210098,-1.3412724047598314,-1.3129767272601454
5.4,3.9,1.7,0.4,setosa,-0.537177558966854,1.957669085017169,-1.1706752927920745,-1.0500307872213979
4.6,3.4,1.4,0.3,setosa,-1.5065205225160652,0.8006542593569032,-1.3412724047598314,-1.1815037572407716
5.0,3.4,1.5,0.2,setosa,-1.0218490407414595,0.8006542593569032,-1.284406700770579,-1.3129767272601454
4.4,2.9,1.4,0.2,setosa,-1.7488562634033669,-0.3563605663033627,-1.3412724047598314,-1.3129767272601454
4.9,3.1,1.5,0.1,setosa,-1.1430169111851105,0.10644536396074403,-1.284406700770579,-1.4444496972795189
5.4,3.7,1.5,0.2,setosa,-0.537177558966854,1.494863154753063,-1.284406700770579,-1.3129767272601454
4.8,3.4,1.6,0.2,setosa,-1.2641847816287624,0.8006542593569032,-1.2275409967813267,-1.3129767272601454
4.8,3.0,1.4,0.1,setosa,-1.2641847816287624,-0.12495760117130933,-1.3412724047598314,-1.4444496972795189
4.3,3.0,1.1,0.1,setosa,-1.870024133847019,-0.12495760117130933,-1.5118695167275884,-1.4444496972795189
5.8,4.0,1.2,0.2,setosa,-0.05250607719224957,2.1890720501492225,-1.4550038127383362,-1.3129767272601454
5.7,4.4,1.5,0.4,setosa,-0.1736739476359004,3.1146839106774356,-1.284406700770579,-1.0500307872213979
5.4,3.9,1.3,0.4,setosa,-0.537177558966854,1.957669085017169,-1.3981381087490836,-1.0500307872213979
5.1,3.5,1.4,0.3,setosa,-0.9006811702978088,1.0320572244889565,-1.3412724047598314,-1.1815037572407716
5.7,3.8,1.7,0.3,setosa,-0.1736739476359004,1.7262661198851155,-1.1706752927920745,-1.1815037572407716
5.1,3.8,1.5,0.3,setosa,-0.9006811702978088,1.7262661198851155,-1.284406700770579,-1.1815037572407716
5.4,3.4,1.7,0.2,setosa,-0.537177558966854,0.8006542593569032,-1.1706752927920745,-1.3129767272601454
5.1,3.7,1.5,0.4,setosa,-0.9006811702978088,1.494863154753063,-1.284406700770579,-1.0500307872213979
4.6,3.6,1.0,0.2,setosa,-1.5065205225160652,1.2634601896210098,-1.5687352207168408,-1.3129767272601454
5.1,3.3,1.7,0.5,setosa,-0.9006811702978088,0.5692512942248498,-1.1706752927920745,-0.9185578172020242
4.8,3.4,1.9,0.2,setosa,-1.2641847816287624,0.8006542593569032,-1.05694388481357,-1.3129767272601454
